,Star Name,Distance,Mass,Radius,Gravity
39,Avior,0630,1.7900999999999998e+31,90441000000.0,0.14606050018557193
40,Alkaid,0104,1.2132899999999998e+31,2365380000.0,144.72680665254333
41,Menkalinan,081,4.75371e+30,1927089000.0,85.43097080483021
42,Atria,0390,1.3923e+31,64004400000.0,0.22682941046987445
43,Alhena,0109,5.5692e+30,2295810000.0,70.51915997124031
44,Peacock,0180,1.17351e+31,3339360000.0,70.23385645015132
45,Alsephina[2],0080,4.7735999999999997e+30,2017530000.0,78.26943965552645
46,Mirzam,0500,2.68515e+31,6957000000.0,37.02633679704249
47,Polaris,0430,1.07406e+31,27132300000.0,0.973736667903813
48,Alphard,0180,5.967e+30,34785000000.0,0.32912299375148873
49,Mintaka,01200,4.7736e+31,11479050000.0,24.17799770442525
50,Scheat,0196,4.1769e+30,66091500000.0,0.0638188630543053
51,Almaaz,0653,2.9835e+31,97398000000.0,0.20989986846395964
52,Rasalgethi,0360,5.5692e+30,194796000000.0,0.009795327194984781
53,Tau Ceti,011.9,1.557387e+30,621260100.0,269.29967110479345
54,Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,182.61269753187165
55,Ran,010.48,1.6309799999999997e+30,514818000.0,410.70254272616984
56,V382 Carinae,"08900",3.978e+31,337414500000.0,0.023319728894426524
57,Eta Carinae,"07500",1.989e+32,612911700000.0,0.035336632665075154
58,Delta Cephei,0887,8.950499999999999e+30,30958650000.0,0.6232603088337749
59,Mu Cephei,"06000",3.8188799999999997e+31,676220400000.0,0.005573726798954914
60,Titawin,044.25,2.52603e+30,1029636000.0,159.02202111653529
61,Rho Cassiopeiae,"08154",4.3758e+31,682481700000.0,0.006269914878211634
62,P Cygni,"05545",5.967e+31,52873200000.0,1.4245281931764575
63,VV Cephei,"04900",3.61998e+31,730485000000.0,0.004527617903459634
64,61 Cygni,011.41,1.3923e+30,462640500.0,434.14192553949175
65,R Doradus,0178,1.989e+30,207318600000.0,0.0030884775624923874
66,Polaris Australis,0281,3.16251e+30,2601918000.0,31.176754176608036
67,R Coronae Borealis,"04566",1.6906499999999997e+30,59134500000.0,0.032266960171714584
68,54 Piscium,036.1,1.51164e+30,653958000.0,235.9037604224493
69,Mira,0300,2.3867999999999998e+30,257409000000.0,0.00240411244522636
70,RW Cephei,"014000",2.76471e+31,805620600000.0,0.0028429856016179986
71,Lacaille 8760,012.87,1.1933999999999999e+30,354807000.0,632.685493563031
72,II Pegasi,0130,1.5912e+30,2365380000.0,18.98056480689093
73,VY Canis Majoris,"03900",3.3812999999999997e+31,987894000000.0,0.0023123267927061875
74,Pistol Star,"025000",1.989e+32,222624000000.0,0.2678409779878652
75,S Doradus,"0169000",4.7736e+31,264366000000.0,0.04558490218164664
76,UY Scuti,"05100",1.989e+31,525253500000.0,0.004811528642771352
77,Barnard's Star,05.98,2.7846e+29,139140000.0,959.9420651085089
78,Proxima Centauri,04.25,2.3868e+29,104355000.0,1462.7688611177277
79,KIC 8462852,"01470",2.84427e+30,1099206000.0,157.10819615734286
80,R136a1,"0163000",5.7680999999999994e+32,22262400000.0,77.67388361648091
81,Melnick 42,"0163000",3.75921e+32,14679270000.000002,116.4324060911917
82,WR 102,"018134",3.7791e+31,271323000.0,34261.104981800825
83,VFTS 352,"0164000",1.1432771999999998e+32,10066779000.0,75.29335961731135
84,YBP 1194,"02772",2.00889e+30,688743000.0,282.6363157577489
85,Gliese 1214,047.5,3.1824e+29,146097000.0,995.0808579032163
86,NML Cygni,"05251",9.945e+31,1140948000000.0,0.005098697974783871
87,VB 10,018.72,1.4917499999999999e+29,69570000.0,2057.0187109468043
88,WOH G64,"0163000",4.9725e+31,1203561000000.0,0.002290998374983912
89,TRAPPIST-1,039.6,1.7702099999999997e+29,83484000.0,1695.1357895765334
90,2MASS J0523-1403,040.3,1.3923e+29,59830199.99999999,2595.841171196618
91,SDSS J000013.54+255418.6Ã Â [de],46.1,9.5472e+31,688743000.0,13432.220946902917
92,2MASS J00040288-6410358,192,3.7791e+31,1133991000.0,1961.3512242583106
93,2MASS J00242463-0158201,37.7,1.5713099999999999e+32,758313000.0,18236.90241167102
94,2MASS J00274197+0503417,236,6.165899999999999e+31,1001808000.0,4100.281638332751
95,2MASSW J0030300-145033,87.2,1.07406e+32,681786000.0,15421.214825923567
96,2MASS J00332386-1521309Ã Â [de],131,5.7681e+31,994851000.0,3889.5817312962217
97,2MASS J00345157+0523050,31,8.3538e+31,653958000.0,13036.786760187986
98,2MASS 0036+1821,28.6,8.3538e+31,653958000.0,13036.786760187986
99,2MASSW J0045214+163445,57,4.574699999999999e+31,1127034000.0,2403.6696820493066
100,WISEP J004701.06+680352.1Ã‚Â [fr],40,2.3868e+31,904410000.0,1947.4733358076255
101,2MASS J00501994-3322402Ã Â [de],34,7.956e+31,653958000.0,12415.987390655226
102,2MASS J00584253-0651239Ã Â [de],96,5.7681e+31,994851000.0,3889.5817312962217
103,2MASSI J0103320+193536,70,1.0342799999999999e+32,681786000.0,14850.058721259731
104,SDSSp J010752.33+004156.1Ã Â [de],51,1.0342799999999999e+32,681786000.0,14850.058721259731
105,2MASSI J0117474-340325Ã Â [de],163,3.978e+31,1127034000.0,2090.147549608093
106,2MASS J01415823-4633574Ã Â [de],130,3.978e+31,1120077000.0,2116.192750739354
107,SDSS J015141.69+124429.6,70,9.3483e+31,674829000.0,13700.340725475582
108,SDSS J020742.48+000056.2Ã Â [de],111,9.3483e+31,674829000.0,13700.340725475582
109,2MASS J02103857-3015313,101,2.9835e+31,1064421000.0,1757.459704341753
110,2MASS J02340093-6442068,155,3.978e+31,1127034000.0,2090.147549608093
111,2MASS J02411151-0326587Ã Â [de],152,5.3703e+31,980937000.0,3724.7962171965683
112,2MASS J02431371Ã¢Ë†â€™2453298,35,6.5637e+31,688743000.0,9234.651900995756
113,LP 771-21,53,1.5514199999999999e+32,751356000.0,18341.044747811015
114,Teegarden's star,12.578,1.5912e+32,883539000.0,13603.7776159501
115,2MASS J02535980+3206373,184,1.29285e+32,1321830000.0,4938.364403011719
116,WISE J0254+0223,24,1.29285e+32,1321830000.0,4938.364403011719
117,DEN 0255-4700,16.2,1.5912e+32,674829000.0,23319.728894426524
118,2MASS J03185403-3421292Ã Â [de],45,9.7461e+31,674829000.0,14283.333947836245
119,2MASS J03205965+1854233,47,1.75032e+32,800054999.9999999,18250.04628237619
120,2MASS J03231002-4631237,192,4.574699999999999e+31,1154862000.0,2289.2258359595735
121,SDSS J032553.17+042540.1,59,8.9505e+31,660915000.0,13675.470654493993
122,2MASS J03264225-2102057Ã Â [de],80,3.5801999999999996e+31,904410000.0,2921.2100037114383
123,2MASS J03284265+2302051Ã Â [de],98,1.07406e+32,681786000.0,15421.214825923567
124,2MASS J03341218-4953322,27.0,1.4519699999999999e+32,723528000.0,18511.13978046311
125,LP 944-20,20.9,1.4519699999999999e+32,994851000.0,9791.016082228422
126,2MASP J0345432+254023,88,1.4718599999999999e+32,730485000.0,18408.9958712095
127,Teide 1,380,1.09395e+32,2629746000.0,1055.7377929142917
128,2MASS J03510004-0052452,48,2.0287799999999997e+32,883539000.0,17344.816460336377
129,2MASS J03552337+1133437,29.8,3.978e+31,918324000.0,3148.1767844303713
130,2MASS J04151954Ã¢Ë†â€™0935066,18.6,5.967e+31,660915000.0,9116.980436329328
131,2MASS J04285096-2253227Ã Â [de],85,1.5912e+32,758313000.0,18467.749277641542
132,2MASS J04351612-1606574,34,1.989e+32,876582000.0,17275.709338597502
133,2MASS J04362788-4114465,142,7.757099999999999e+31,1370529000.0,2756.1898778436403
134,2MASS J04390101-2353083Ã Â [de],29.5,9.5472e+31,674829000.0,13991.837336655914
135,2MASS J04433764+0002040,82,4.3758e+31,1238346000.0,1904.4064992143121
136,2MASS J04455387-3048204Ã Â [de],42,1.27296e+32,695700000.0,17553.22633341273
137,2MASS J04510093-3402150Ã Â [de],69,2.06856e+30,50090400000.0,0.055023134243433046
138,2MASS J05002100+0330501Ã Â [de],44,1.27296e+32,695700000.0,17553.22633341273
139,2MASS J05012406-0010452Ã Â [de],64,4.1769e+31,960065999.9999999,3024.392139598327
140,2MASS J05160945-0445499Ã Â [de],73,9.3483e+31,674829000.0,13700.340725475582
141,2MASS J0523Ã¢Ë†â€™1403,40,1.3525199999999999e+32,702657000.0,18282.81833080191
142,SDSS J053951.99-005902.0,41.62,1.21329e+32,702657000.0,16400.763502631125
143,LSR 0602+3910Ã Â [de],34.6,5.5692e+31,980937000.0,3862.751632648293
144,2MASS J06085283-2753583,102,7.5582e+31,1050507000.0,4570.952210632784
145,2MASS J06244595-4521548Ã Â [de],39,1.11384e+32,688743000.0,15670.924438053404
146,2MASS J06411840-4322329Ã Â [de],65,1.3326299999999999e+32,702657000.0,18013.95335534894
147,DENIS-P J0652197-253450Ã Â [de],51,1.49175e+32,730485000.0,18657.766085685304
148,2MASS J07075327-4900503,60,1.4320799999999998e+32,716571000.0,18613.799250720447
149,UGPS J072227.51-054031.2,13.4,5.1713999999999995e+31,681786000.0,7425.029360629866
150,2MASSI J0727182+171001Ã Â [de],29.6,8.154899999999999e+31,653958000.0,12726.387075421604
151,2MASS J07290002-3954043Ã Â [de],25.8,7.3592999999999995e+31,653958000.0,11484.788336356085
152,SDSS J074201.41+205520.5Ã Â [de],49,8.5527e+31,653958000.0,13347.186444954366
153,DENIS-P J0751164-253043Ã Â [de],55,1.41219e+32,716571000.0,18355.27426112711
154,2MASS J07522390+1612157,60,3.997889999999999e+30,47307600000.0,0.11922167269328364
155,DENIS J081730.0-615520,16.1,8.7516e+31,653958000.0,13657.586129720748
156,2MASS J08251968+2115521Ã Â [de],35,1.0342799999999999e+32,681786000.0,14850.058721259731
157,SDSSp J083008.12+482847.4Ã Â [de],43,9.5472e+31,688743000.0,13432.220946902917
158,LHS 2021,55,1.75032e+32,800054999.9999999,18250.04628237619
159,SDSS J083048.80+012831.1Ã Â [de],77,9.149399999999999e+31,667872000.0,13689.649986046441
160,2MASSI J0835425-081923Ã Â [de],23.53,1.2331799999999999e+32,695700000.0,17004.688010493584
161,2MASSI J0847287-153237Ã Â [de],43,1.27296e+32,695700000.0,17553.22633341273
162,2MASS J08533619-0329321,27.6,1.53153e+32,744399000.0,18445.912684415405
163,2MASSI J0859254-194926Ã Â [de],50,9.945e+31,681786000.0,14278.902616595895
164,2MASSI J0937347+293142,20.0,8.3538e+31,653958000.0,13036.786760187986
165,2MASS 0939Ã¢Ë†â€™2448,17.4,6.3648e+31,660915000.0,9724.779132084615
166,2MASS J09490860-1545485Ã Â [de],59,9.7461e+31,667872000.0,14582.453246005993
167,2MASS J10073369-4555147,46,8.7516e+31,653958000.0,13657.586129720748
168,2MASSI J1010148-040649Ã Â [de],55,1.0143899999999999e+32,681786000.0,14564.480668927812
169,2MASS J10224821+5825453Ã Â [de],60,5.3703e+31,980937000.0,3724.7962171965683
170,2MASSW J1036530-344138Ã Â [de],53,9.7461e+31,674829000.0,14283.333947836245
171,2MASS J1047538+212423Ã Â [de],34.4,8.3538e+31,653958000.0,13036.786760187986
172,DEN 1048-3956,13.15,1.53153e+32,744399000.0,18445.912684415405
173,Luhman 16B,6.516,8.5527e+31,709614000.0,11335.615093004306
174,Luhman 16A,6.516,7.956e+31,702657000.0,10754.59901811877
175,DENIS-P J1058.7Ã¢Ë†â€™1548,49,1.27296e+32,695700000.0,17553.22633341273
176,TWA 28,180,7.160399999999999e+31,1662723000.0,1728.5568902058196
177,Cha 110913-773444,163,1.5912e+31,1252260000.0,677.2078060730221
178,SDSS J111010.01+011613.1,63,1.7900999999999998e+31,862668000.0,1605.3736037566111
179,2MASS J11145133Ã¢Ë†â€™2618235,18.2,6.5637e+31,667872000.0,9820.835859555056
180,TWA 26,137,5.967e+31,1530540000.0000002,1700.0154635924
181,2MASS J11544223-3400390Ã Â [de],129,7.3592999999999995e+31,1043550000.0,4510.2039884463275
182,2MASSW J1155395-372735Ã Â [de],31,1.27296e+32,695700000.0,17553.22633341273
183,2MASS J12074836-3900043,217,3.3812999999999997e+31,1189647000.0,1594.5336154073927
184,2MASSI J1217110-031113Ã Â [de],36,8.3538e+31,653958000.0,13036.786760187986
185,2M 1237+6526,45.6,8.154899999999999e+31,653958000.0,12726.387075421604
186,TWA 29,262,3.978e+30,17392500000.0,0.8776613166706366
187,SDSSp J125453.90-012247.4Ã Â [de],38,9.3483e+31,681786000.0,13422.16845960014
188,Kelu-1A,61,1.2530699999999999e+32,681786000.0,17991.417296910826
189,Kelu-1B,61,1.15362e+32,681786000.0,16563.527035251238
190,2MASS J13204427+0409045,101,1.3326299999999999e+32,702657000.0,18013.95335534894
191,SDSSp J132629.82-003831.5Ã Â [de],65,1.0143899999999999e+32,674829000.0,14866.327170196908
192,SDSSp J134646.45-003150.4Ã Â [de],48,8.7516e+31,653958000.0,13657.586129720748
193,2MASS J13595510-4034582,51,1.2530699999999999e+32,695700000.0,17278.95717195316
194,ULAS J141623.94+134836.3,29.7,6.3648e+31,667872000.0,9523.234772901873
195,SDSS J141659.78+500626.4Ã Â [de],149,1.17351e+32,688743000.0,16510.438247234833
196,DENIS-P J142527.97-365023.4Ã Â [de],38,4.1769e+31,918324000.0,3305.5856236518894
197,LHS 2924,38.5,1.51164e+32,737442000.0,18551.491875158084
198,2MASS J14392837+1929150,47,1.4320799999999998e+32,716571000.0,18613.799250720447
199,LSPM J1440+1339,72,1.8298799999999998e+32,827883000.0,17818.48941055067
200,2MASS J14482563+1031590Ã Â [de],47,1.17351e+32,688743000.0,16510.438247234833
201,CFBDSIR 1458+10A,104,2.2077899999999997e+31,1043550000.0,1353.0611965338978
202,CFBDSIR 1458+10B,104,1.7900999999999998e+31,904410000.0,1460.6050018557191
203,TVLM 513-46546,35.1,1.49175e+32,730485000.0,18657.766085685304
204,2MASS 1503+2525,20.7,8.7516e+31,653958000.0,13657.586129720748
205,CFBDS J150411+102717,71,8.7516e+31,653958000.0,13657.586129720748
206,2MASSW J1506544+132106Ã Â [de],46,1.37241e+32,709614000.0,18189.707939937143
207,2MASS 1507Ã¢Ë†â€™1627,23.9,1.1934e+32,688743000.0,16790.276183628648
208,TVLM 868-110639,53,1.5713099999999999e+32,751356000.0,18576.186347141924
209,2MASSW J1515008+484742Ã Â [de],34,1.1337299999999999e+32,688743000.0,15950.762374447213
210,2MASSI J1526140+204341Ã Â [de],67,1.07406e+32,681786000.0,15421.214825923567
211,DENIS-P J153941.96-052042.4Ã Â [de],51,1.2530699999999999e+32,695700000.0,17278.95717195316
212,2MASS J15462718-3325111Ã Â [de],37,8.7516e+31,653958000.0,13657.586129720748
213,2MASSW J1552591+294849Ã Â [de],68,5.967e+31,994851000.0,4023.705239271954
214,2MASSW J1555157-095605Ã Â [de],44,1.41219e+32,716571000.0,18355.27426112711
215,2MASS J16150413+1340079Ã Â [de],48,8.3538e+31,653958000.0,13036.786760187986
216,SDSSp J162414.37+002915.6Ã Â [de],36,8.5527e+31,653958000.0,13347.186444954366
217,2MASS J16262034+3925190Ã Â [de],110,1.41219e+32,716571000.0,18355.27426112711
218,2MASSW J1632291+190441Ã Â [de],50,9.7461e+31,674829000.0,14283.333947836245
219,WISEPA J164715.59+563208.2,28,8.154899999999999e+31,653958000.0,12726.387075421604
220,LSPM J1658+7027Ã Â [de],60,1.4519699999999999e+32,723528000.0,18511.13978046311
221,2MASSI J1726000+153819,114,4.7736e+31,973979999.9999999,3358.3978954233553
222,SDSSp J175032.96+175903.9,90,9.3483e+31,674829000.0,13700.340725475582
223,2MASS J18283572-4849046,39,8.9505e+31,660915000.0,13675.470654493993
224,LSR J1835+3259,18.5,1.53153e+32,744399000.0,18445.912684415405
225,2MASSW J1841086+311727,138,1.3326299999999999e+32,702657000.0,18013.95335534894
226,2MASS J18432213+4040209,46,1.90944e+32,848754000.0,17690.02922609453
227,2MASS J20004841-7523070,105,4.9725e+31,1307916000.0,1939.9980297898792
228,SDSS J204749.61-071818.3,65,9.149399999999999e+31,667872000.0,13689.649986046441
229,2MASSI J2057540-025230,47,1.3923e+32,709614000.0,18453.326895588405
230,2MASSI J2104149-103736,62,1.37241e+32,709614000.0,18189.707939937143
231,PSO J318.5Ã¢Ë†â€™22,80,1.2928499999999999e+31,1064421000.0,761.5658718814262
232,HB 2124-4228,113,1.86966e+32,841797000.0,17608.975600846905
233,2MASS J21392676+0220226,32.1,9.149399999999999e+31,667872000.0,13689.649986046441
234,2MASS J21481628+4003593,26.3,1.09395e+32,688743000.0,15391.086501659593
235,2MASSW J2206450-421721,93,4.3758e+31,925281000.0,3411.1151292388645
236,2MASSW J2208136+292121,154,5.3703e+31,980937000.0,3724.7962171965683
237,2MASSW J2224438-015852,38,1.21329e+32,688743000.0,17070.11412002246
238,2MASS J22282889-4310262,35,8.3538e+31,653958000.0,13036.786760187986
239,2MASS J22373255+3922398,64,1.4519699999999999e+32,723528000.0,18511.13978046311
240,2MASSW J2244316+204343,56,2.3868e+31,897453000.0,1977.7837494831365
241,2MASS J23224684-3133231,56,4.7736e+31,967022999.9999999,3406.8939884218084
242,2MASS J23225299-6151275,148,3.3812999999999997e+31,1106163000.0,1844.300361857821
243,2MASS J23515044-2537367,67,1.75032e+32,807012000.0,17936.74658772481
244,2MASSI J2356547-155310,74,1.5912e+32,758313000.0,18467.749277641542
245,WISE 0410+1502,20,1.1934e+31,813969000.0,1202.1440344491518
246,WISE 0458+6434A,35.9,2.9835e+31,2921940000.0,233.22207607106628
247,WISE 0458+6434B,35.9,1.989e+31,2643660000.0,189.93709242352767
248,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
